 Name, City, IATA, Latitude, Longitude
Berlin-Tempelhof International Airport,Berlin,THF,52.47299957,13.40390015
Cologne Bonn Airport,Cologne,CGN,50.86589813,7.142739773
Düsseldorf Airport,Duesseldorf,DUS,51.289501,6.76678
Munich Airport,Munich,MUC,48.353802,11.7861
Nuremberg Airport,Nuernberg,NUE,49.498699,11.078056
Leipzig/Halle Airport,Leipzig,LEJ,51.423889,12.236389
Saarbrücken Airport,Saarbruecken,SCN,49.21459961,7.109509945
Stuttgart Airport,Stuttgart,STR,48.68989944,9.221960068
Berlin-Tegel Airport,Berlin,TXL,52.5597,13.2877
Hannover Airport,Hannover,HAJ,52.46110153,9.685079575
Bremen Airport,Bremen,BRE,53.04750061,8.786669731
Frankfurt-Egelsbach Airport,Egelsbach,QEF,49.959999,8.645833
Frankfurt-Hahn Airport,Hahn,HHN,49.9487,7.26389
Mannheim-City Airport,Mannheim,MHG,49.473057,8.514167
Allendorf/Eder Airport,Allendorf,\N,51.03499985,8.680832863
Worms Airport,Worms,\N,49.606945,8.368333
Mainz-Finthen Airport,Mainz,\N,49.967499,8.147222
Eisenach-Kindel Airport,Eisenach,EIB,50.991604,10.47973
Siegerland Airport,Siegerland,SGE,50.70769882,8.082969666
Hamburg-Finkenwerder Airport,Hamburg,XFW,53.53527832,9.83555603
Kiel-Holtenau Airport,Kiel,KEL,54.37944412,10.14527798
Lübeck Blankensee Airport,Luebeck,LBC,53.80540085,10.71920013
Flugplatz Dahlemer Binz,Dahlemer Binz,\N,50.40555573,6.528889179
Meinerzhagen Airport,Meinerzhagen,\N,51.09999847,7.599999905
Arnsberg-Menden Airport,Arnsberg,\N,51.48389053,7.898333073
Essen Mulheim Airport,Essen,ESS,51.40230179,6.937329769
Bielefeld Airport,Bielefeld,BFE,51.964722,8.544444
Mönchengladbach Airport,Moenchengladbach,MGL,51.230278,6.504444
Paderborn Lippstadt Airport,Paderborn,PAD,51.61410141,8.616319656
Stadtlohn-Vreden Airport,Stadtlohn,\N,51.99583435,6.840556145
Dortmund Airport,Dortmund,DTM,51.5182991,7.612239838
Augsburg Airport,Augsburg,AGB,48.425278,10.931667
Biberach a.d. Riß Airfield,Biberach,\N,48.111111,9.762778
Eggenfelden Airport,Eggenfelden,\N,48.39611053,12.72361088
Mindelheim-Mattsies Airfield,Mindelheim,\N,48.106945,10.525
